group	t1	t2	winner	date
A	C9	FNC	2	10-7
B	G2	DK	2	10-7
D	CFO	100	1	10-7
B	JDG	EG	1	10-7
A	EDG	T1	2	10-7
D	GEN	RNG	2	10-7
C	RGE	DRX	1	10-8
B	EG	G2	2	10-8
A	FNC	T1	1	10-8
A	EDG	C9	1	10-8
C	TES	GAM	1	10-8
B	DK	JDG	2	10-8
C	GAM	RGE	2	10-9
D	100	GEN	2	10-9
A	EDG	FNC	1	10-9
A	C9	T1	2	10-9
D	RNG	CFO	1	10-9
C	DRX	TES	1	10-9
B	JDG	G2	1	10-10
C	RGE	TES	1	10-10
B	DK	EG	1	10-10
D	100	RNG	2	10-10
D	GEN	CFO	1	10-10
C	GAM	DRX	2	10-10
A	FNC	C9	2	10-13
A	T1	FNC	1	10-13
A	C9	EDG	TBD	10-13
A	FNC	EDG	TBD	10-13
A	T1	C9	TBD	10-13
A	EDG	T1	TBD	10-13
B	G2	EG	TBD	10-14
B	EG	JDG	TBD	10-14
B	DK	G2	TBD	10-14
B	G2	JDG	TBD	10-14
B	EG	DK	TBD	10-14
B	JDG	DK	TBD	10-14
C	RGE	GAM	TBD	10-15
C	GAM	TES	TBD	10-15
C	DRX	RGE	TBD	10-15
C	DRX	GAM	TBD	10-15
C	TES	RGE	TBD	10-15
C	TES	DRX	TBD	10-15
D	100	CFO	TBD	10-16
D	CFO	GEN	TBD	10-16
D	RNG	100	TBD	10-16
D	GEN	100	TBD	10-16
D	CFO	RNG	TBD	10-16
D	RNG	GEN	TBD	10-16
